amount,楼层,馆别,文物
30,2楼,第二展览馆,高山景行：上海博物馆受赠文物展
74,2楼,第二展览馆,鼎盛千秋: 上海博物馆受赠青铜鼎特展
63,2楼,第二展览馆,宝历风物：黑石号沉船出水珍品展
126,2楼,第二展览馆,沧海之虹：唐招提寺鉴真文物与东山魁夷隔扇画展
96,3楼,中国历代绘画馆,清 沈铨 花鸟走兽册
85,3楼,中国历代绘画馆,清 项圣谟 看梅图卷
153,3楼,中国历代绘画馆,南宋 马和之 周颂十篇图卷
133,3楼,中国历代绘画馆,现代 刘海粟等 万年长春图轴
80,3楼,中国历代绘画馆,元 李升 澱山送别图卷
52,3楼,中国历代绘画馆,元 张中 芙蓉鸳鸯图轴
169,3楼,中国历代绘画馆,明 董其昌 仿古山水图册
115,3楼,中国历代绘画馆,明 马守真 仿管道昇墨兰轴
149,3楼,中国历代绘画馆,明 陈洪绶?花鸟草虫册
103,3楼,中国历代绘画馆,清 李方膺 设色花卉横幅
48,3楼,中国历代书法馆,康有为《大同书》手稿
165,3楼,中国历代书法馆,清 阮元撰《仪礼石经校勘记》四卷
119,3楼,中国历代书法馆,祁承?撰《澹生堂藏》书目不分卷
81,3楼,中国历代书法馆,东汉 篆书开母庙石阙铭册
59,3楼,中国历代书法馆,宋拓 梁 萧敷 敬妃墓志铭合册
94,3楼,中国历代书法馆,宋拓 唐楷书李靖碑册
140,3楼,中国历代书法馆,宋拓 颜真卿大字麻姑仙坛记
117,3楼,中国历代书法馆,宋拓 兰亭续帖
99,3楼,中国历代书法馆,钱谦益《绛云楼书目》不分卷
139,3楼,中国历代书法馆,清 顾炎武撰《金石文字记》
131,3楼,中国历代玺印馆,鎏金虎镇
133,3楼,中国历代玺印馆,“御府图书”牙章
93,3楼,中国历代玺印馆,赵之谦“潘祖荫”石章
107,3楼,中国历代玺印馆,丁敬刻六面石章
45,3楼,中国历代玺印馆,明 “丁丑进士” 白文木印
87,3楼,中国历代玺印馆,明 “丁丑进士” 白文石印
114,3楼,中国历代玺印馆,文彭“七十二峰深处”牙章
161,3楼,中国历代玺印馆,清 吴昌硕 “吉金乐石”石章
34,3楼,中国历代玺印馆,清 邓石如 “我书意造本无法” 白文石章
121,3楼,中国历代玺印馆,清 赵之琛 “湖东小筑”石章
80,4楼,中国少数民族工艺馆,畲族竹编斗笠
45,4楼,中国少数民族工艺馆,纳西族七星羊皮披肩
66,4楼,中国少数民族工艺馆,苗族剖绣女上衣
115,4楼,中国少数民族工艺馆,保安族腰刀
107,4楼,中国少数民族工艺馆,侗族芦笙服
37,4楼,中国少数民族工艺馆,维吾尔族刻花镂空提梁铜壶
158,4楼,中国少数民族工艺馆,土家族木雕傩戏开山莽将面具
90,4楼,中国少数民族工艺馆,木雕傩婆面具
112,4楼,中国少数民族工艺馆,白族雕花木帽架
67,4楼,中国少数民族工艺馆,彝族彩绘漆皮甲
129,4楼,中国历代钱币馆,1909年广东沙面万国宝通银行一元
68,4楼,中国历代钱币馆,萨珊王朝沙不尔一世银币
108,4楼,中国历代钱币馆,大观通宝（折五）
170,4楼,中国历代钱币馆,光绪二十四年中国通商银行十两
109,4楼,中国历代钱币馆,大明通行宝钞四十文钞版
83,4楼,中国历代钱币馆,开元通宝（背蓝）
52,4楼,中国历代钱币馆,西王赏功金钱
107,4楼,中国历代钱币馆,绍定万岁（银质鎏金）
39,4楼,中国历代钱币馆,光绪三十年广西官银钱号一元
86,4楼,中国历代钱币馆,广东寿字一两银币
116,4楼,中国历代钱币馆,大泉当千
80,4楼,中国历代玉器馆,谷纹玉龙
58,4楼,中国历代玉器馆,琮型玉管
128,4楼,中国历代玉器馆,明 玉发冠
111,4楼,中国历代玉器馆,明 金链玉双体鸟形坠
128,4楼,中国历代玉器馆,明 蘑菇首玉簪
60,4楼,中国历代玉器馆,鱼鸟形玉璜
162,4楼,中国历代玉器馆,双身玉龙
34,4楼,中国历代玉器馆,蟠龙环
50,4楼,中国历代玉器馆,玉柄形器
141,4楼,中国历代玉器馆,明 玉冠
108,4楼,中国明清家具馆,黄花梨四出头官帽椅
165,4楼,中国明清家具馆,明 嵌云石紫檀木笔屏
102,4楼,中国明清家具馆,明 黄花梨木三层架格
35,4楼,中国明清家具馆,明 铁力木板足开光条几
135,4楼,中国明清家具馆,明 黄花梨木夹头榫画案
63,4楼,中国明清家具馆,明 黄花梨木四足八方香几
168,4楼,中国明清家具馆,黄花梨木夹头榫大平头案
126,4楼,中国明清家具馆,清 黄花梨木三足香几
118,4楼,中国明清家具馆,黄花梨木束腰罗锅枨方凳
121,4楼,中国明清家具馆,黄花梨木两卷角牙琴桌
